2014,2015,2016,2017,2018,2019,2020,2021
695.0,360.0,317.0,383.0,103.0,95.0,399.0,434.0
283.0,319.0,82.0,658.0,321.0,338.0,369.0,113.0
92.0,74.0,305.0,305.0,302.0,354.0,127.0,615.0
330.0,346.0,293.0,69.0,86.0,731.0,373.0,340.0
296.0,302.0,73.0,567.0,304.0,297.0,333.0,
69.0,609.0,359.0,252.0,314.0,87.0,94.0,449.0
226.0,282.0,310.0,60.0,576.0,323.0,280.0,464.0
247.0,229.0,80.0,77.0,569.0,284.0,289.0,422.0
78.0,68.0,245.0,305.0,302.0,293.0,94.0,765.0
616.0,337.0,277.0,322.0,88.0,94.0,369.0,408.0
323.0,325.0,73.0,754.0,339.0,372.0,591.0,210.0
102.0,79.0,372.0,349.0,348.0,376.0,183.0,920.0
350.0,305.0,358.0,99.0,112.0,687.0,383.0,355.0
296.0,86.0,689.0,348.0,342.0,340.0,187.0,124.0
84.0,625.0,290.0,311.0,356.0,100.0,645.0,332.0
272.0,324.0,98.0,61.0,723.0,332.0,341.0,358.0
266.0,83.0,563.0,293.0,280.0,287.0,134.0,
585.0,318.0,306.0,309.0,77.0,71.0,644.0,367.0
263.0,264.0,57.0,574.0,319.0,310.0,292.0,160.0
245.0,261.0,72.0,517.0,281.0,257.0,309.0,127.0
82.0,668.0,321.0,278.0,268.0,83.0,615.0,431.0
338.0,273.0,275.0,84.0,86.0,661.0,357.0,399.0
331.0,93.0,601.0,369.0,346.0,341.0,294.0,151.0
116.0,694.0,348.0,333.0,364.0,100.0,745.0,510.0
322.0,329.0,100.0,69.0,764.0,371.0,346.0,457.0
72.0,73.0,351.0,317.0,330.0,330.0,117.0,624.0
609.0,359.0,297.0,343.0,76.0,87.0,383.0,355.0
308.0,304.0,107.0,580.0,366.0,307.0,349.0,105.0
87.0,80.0,271.0,269.0,279.0,321.0,103.0,
329.0,262.0,314.0,91.0,76.0,638.0,352.0,369.0
267.0,96.0,73.0,302.0,268.0,306.0,298.0,130.0
272.0,71.0,528.0,282.0,279.0,279.0,90.0,130.0
603.0,284.0,249.0,287.0,87.0,89.0,296.0,449.0
310.0,286.0,73.0,90.0,580.0,301.0,350.0,447.0
79.0,95.0,299.0,315.0,379.0,356.0,305.0,801.0
734.0,373.0,322.0,372.0,114.0,130.0,487.0,474.0
292.0,363.0,117.0,739.0,426.0,333.0,422.0,138.0
79.0,671.0,349.0,273.0,355.0,88.0,589.0,356.0
331.0,272.0,309.0,121.0,97.0,706.0,398.0,339.0
295.0,85.0,630.0,330.0,339.0,295.0,126.0,129.0
113.0,621.0,303.0,306.0,305.0,86.0,681.0,
310.0,246.0,299.0,92.0,588.0,300.0,327.0,419.0
75.0,89.0,576.0,270.0,290.0,312.0,96.0,755.0
73.0,77.0,251.0,265.0,271.0,290.0,74.0,758.0
321.0,300.0,313.0,67.0,82.0,652.0,276.0,406.0
278.0,313.0,80.0,603.0,276.0,306.0,379.0,149.0
99.0,649.0,323.0,327.0,377.0,109.0,979.0,486.0
397.0,323.0,373.0,116.0,102.0,770.0,465.0,454.0
353.0,92.0,687.0,349.0,347.0,304.0,215.0,130.0
620.0,312.0,343.0,370.0,80.0,95.0,393.0,365.0
262.0,320.0,104.0,128.0,615.0,359.0,331.0,380.0
85.0,64.0,324.0,306.0,317.0,367.0,125.0,629.0
90.0,56.0,60.0,84.0,76.0,70.0,96.0,
275.0,295.0,67.0,564.0,292.0,248.0,299.0,151.0
77.0,563.0,299.0,243.0,262.0,91.0,69.0,360.0
66.0,566.0,256.0,249.0,333.0,81.0,603.0,425.0
247.0,272.0,88.0,79.0,593.0,317.0,378.0,489.0
313.0,92.0,560.0,306.0,276.0,269.0,136.0,142.0
652.0,341.0,339.0,381.0,114.0,99.0,542.0,468.0
427.0,318.0,113.0,104.0,687.0,387.0,452.0,476.0
73.0,95.0,332.0,316.0,367.0,370.0,135.0,731.0
343.0,289.0,381.0,93.0,103.0,645.0,359.0,359.0
287.0,308.0,114.0,97.0,285.0,346.0,391.0,147.0
82.0,691.0,244.0,304.0,303.0,84.0,631.0,351.0
664.0,477.0,465.0,125.0,72.0,538.0,523.0,
289.0,75.0,77.0,271.0,277.0,272.0,324.0,121.0
535.0,297.0,273.0,283.0,74.0,75.0,609.0,376.0
514.0,303.0,280.0,289.0,91.0,57.0,308.0,400.0
282.0,240.0,76.0,593.0,328.0,268.0,139.0,158.0
81.0,74.0,314.0,267.0,246.0,339.0,133.0,726.0
364.0,270.0,349.0,104.0,82.0,698.0,626.0,457.0
374.0,341.0,90.0,717.0,377.0,343.0,497.0,188.0
77.0,653.0,328.0,314.0,391.0,115.0,659.0,402.0
304.0,326.0,84.0,85.0,664.0,340.0,343.0,370.0
289.0,119.0,107.0,692.0,309.0,320.0,174.0,169.0
585.0,428.0,260.0,293.0,96.0,106.0,304.0,334.0
285.0,319.0,76.0,93.0,583.0,306.0,334.0,
80.0,83.0,554.0,302.0,290.0,275.0,84.0,640.0
268.0,266.0,256.0,87.0,96.0,607.0,345.0,368.0
296.0,271.0,314.0,61.0,80.0,571.0,292.0,390.0
310.0,81.0,563.0,306.0,290.0,291.0,138.0,132.0
71.0,561.0,280.0,260.0,310.0,75.0,650.0,450.0
310.0,300.0,96.0,105.0,720.0,390.0,575.0,444.0
369.0,97.0,737.0,380.0,331.0,337.0,199.0,147.0
665.0,344.0,320.0,348.0,103.0,104.0,319.0,364.0
288.0,290.0,99.0,678.0,360.0,338.0,393.0,20.0
80.0,122.0,708.0,365.0,286.0,324.0,167.0,158.0
320.0,326.0,299.0,80.0,82.0,627.0,355.0,339.0
267.0,303.0,70.0,667.0,312.0,274.0,344.0,
81.0,576.0,297.0,270.0,284.0,80.0,89.0,390.0
274.0,240.0,256.0,56.0,514.0,263.0,275.0,402.0
254.0,281.0,75.0,68.0,541.0,310.0,298.0,412.0
87.0,75.0,334.0,317.0,277.0,297.0,103.0,840.0
566.0,317.0,294.0,285.0,82.0,97.0,338.0,412.0
304.0,307.0,96.0,766.0,370.0,330.0,668.0,206.0
112.0,95.0,418.0,346.0,319.0,389.0,185.0,866.0
337.0,314.0,349.0,86.0,110.0,695.0,358.0,370.0
303.0,68.0,705.0,359.0,310.0,355.0,163.0,224.0
65.0,103.0,354.0,315.0,329.0,72.0,134.0,788.0
286.0,300.0,92.0,80.0,568.0,263.0,302.0,363.0
287.0,83.0,576.0,337.0,304.0,288.0,113.0,
520.0,320.0,287.0,304.0,74.0,76.0,646.0,335.0
259.0,287.0,78.0,579.0,340.0,279.0,275.0,142.0
236.0,291.0,61.0,524.0,285.0,271.0,284.0,144.0
93.0,576.0,297.0,330.0,297.0,84.0,642.0,437.0
313.0,307.0,281.0,97.0,93.0,693.0,347.0,421.0
373.0,103.0,684.0,406.0,342.0,322.0,305.0,178.0
100.0,662.0,373.0,343.0,399.0,104.0,755.0,484.0
246.0,310.0,116.0,92.0,721.0,369.0,350.0,413.0
84.0,98.0,363.0,307.0,301.0,348.0,114.0,683.0
582.0,693.0,304.0,314.0,100.0,83.0,768.0,377.0
293.0,319.0,78.0,603.0,307.0,331.0,371.0,102.0
74.0,56.0,314.0,294.0,270.0,321.0,130.0,
316.0,267.0,278.0,75.0,60.0,536.0,326.0,335.0
271.0,88.0,11.0,296.0,295.0,280.0,286.0,120.0
281.0,74.0,519.0,293.0,276.0,284.0,87.0,147.0
571.0,291.0,229.0,95.0,88.0,71.0,325.0,448.0
261.0,280.0,87.0,106.0,608.0,356.0,335.0,423.0
88.0,97.0,369.0,355.0,355.0,393.0,271.0,888.0
795.0,354.0,365.0,375.0,120.0,116.0,414.0,445.0
340.0,342.0,140.0,702.0,393.0,369.0,406.0,141.0
79.0,665.0,299.0,298.0,326.0,84.0,648.0,375.0
282.0,333.0,286.0,85.0,120.0,648.0,375.0,377.0
314.0,83.0,545.0,304.0,303.0,310.0,117.0,108.0
78.0,596.0,261.0,280.0,290.0,78.0,584.0,
300.0,254.0,286.0,88.0,530.0,301.0,314.0,402.0
75.0,88.0,561.0,257.0,274.0,289.0,87.0,725.0
60.0,75.0,279.0,248.0,257.0,293.0,91.0,790.0
291.0,247.0,319.0,124.0,97.0,638.0,337.0,419.0
277.0,310.0,94.0,604.0,335.0,332.0,431.0,156.0
121.0,604.0,311.0,403.0,398.0,102.0,997.0,465.0
414.0,348.0,352.0,85.0,137.0,743.0,456.0,512.0
112.0,90.0,97.0,62.0,64.0,86.0,161.0,119.0
638.0,379.0,299.0,360.0,130.0,103.0,369.0,361.0
263.0,291.0,81.0,96.0,105.0,340.0,337.0,354.0
91.0,88.0,284.0,276.0,277.0,310.0,95.0,689.0
573.0,302.0,280.0,304.0,72.0,74.0,346.0,
297.0,273.0,79.0,545.0,234.0,270.0,263.0,142.0
74.0,551.0,301.0,278.0,325.0,95.0,78.0,408.0
58.0,567.0,256.0,253.0,276.0,76.0,570.0,379.0
284.0,246.0,73.0,78.0,582.0,337.0,331.0,435.0
258.0,89.0,609.0,314.0,291.0,313.0,162.0,164.0
737.0,333.0,300.0,446.0,96.0,103.0,577.0,464.0
91.0,63.0,107.0,100.0,115.0,102.0,182.0,192.0
108.0,99.0,749.0,552.0,568.0,589.0,155.0,802.0
334.0,294.0,341.0,124.0,206.0,682.0,374.0,419.0
273.0,328.0,65.0,593.0,681.0,292.0,386.0,111.0
78.0,605.0,237.0,272.0,299.0,92.0,564.0,
265.0,293.0,287.0,98.0,76.0,554.0,371.0,
269.0,68.0,77.0,320.0,297.0,257.0,305.0,124.0
554.0,309.0,238.0,292.0,54.0,80.0,604.0,329.0
557.0,295.0,257.0,277.0,84.0,80.0,302.0,432.0
276.0,292.0,93.0,673.0,273.0,301.0,347.0,153.0
62.0,72.0,329.0,326.0,302.0,349.0,168.0,792.0
410.0,295.0,343.0,111.0,120.0,744.0,650.0,519.0
599.0,588.0,118.0,731.0,800.0,581.0,618.0,245.0
93.0,622.0,427.0,328.0,365.0,84.0,679.0,434.0
268.0,270.0,138.0,201.0,218.0,338.0,318.0,160.0
327.0,87.0,600.0,303.0,353.0,274.0,171.0,135.0
609.0,332.0,253.0,268.0,80.0,72.0,348.0,
270.0,262.0,80.0,26.0,567.0,308.0,352.0,
87.0,94.0,642.0,272.0,288.0,277.0,101.0,694.0
278.0,264.0,245.0,69.0,66.0,612.0,312.0,375.0
272.0,264.0,267.0,68.0,72.0,589.0,298.0,359.0
91.0,76.0,530.0,348.0,270.0,323.0,118.0,142.0
70.0,596.0,285.0,272.0,196.0,101.0,676.0,451.0
331.0,300.0,86.0,115.0,760.0,387.0,522.0,532.0
442.0,115.0,773.0,408.0,377.0,366.0,194.0,156.0
795.0,352.0,287.0,360.0,116.0,104.0,382.0,358.0
